2012.06.16 (168) 10:00:11.000
Station name: Zhong Shan
URSI code: ZS36R
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 0.600  180.0 -90  51  60   2.344 150.0  30.0  182
 0.850 1180.0  90  39  48   2.344 150.0  30.0 1175
 0.900 1172.5 -90  42  51   5.469 150.0  30.0 1175
 0.950  727.5  90  39  48  -3.906 150.0  30.0  730
 0.950  735.0  90  39  48  -0.781 150.0  30.0  741
 0.950  745.0  90  39  48  -0.781 150.0  30.0  753
 0.950  772.5  90  39  48  -5.469 150.0  30.0  771
 1.150  345.0  90  42  51  -3.906 150.0  30.0  340
 1.150  347.5  90  42  51  -5.469 150.0  30.0  346
 1.150  140.0 -90  42  51   3.906 150.0  30.0  141
 1.350  477.5 -90  36  45  -3.906 150.0  30.0  474
 1.350  502.5 -90  36  45   0.781 150.0  30.0  489
 1.350 1162.5 -90  36  45  -3.906 150.0  30.0 1153
 1.350 1212.5 -90  36  45   5.469 150.0  30.0 1219
 1.500   87.5  90  33  42  -5.469 210.0  30.0   74
 1.550 1230.0  90  30  39   2.344 210.0  30.0 1217
 1.650  770.0  90  33  42   2.344 150.0  30.0  760
 1.650  735.0 -90  33  42   0.781 150.0  30.0  745
 2.050  110.0  90  30  39  -0.781   0.0   0.0  110
 2.150  107.5  90  30  42  -0.781   0.0   0.0  108
 2.150  110.0  90  30  42  -0.781 270.0  30.0  110
 2.150  112.5  90  30  45  -0.781   0.0   0.0  112
 2.150  107.5 -90  27  42  -0.781 210.0  30.0  107
 2.150  110.0 -90  27  42  -0.781  30.0  30.0  110
 2.150  112.5 -90  27  45  -0.781  90.0  30.0  112
 2.150  115.0 -90  27  36  -0.781  90.0  30.0  115
 2.200  110.0 -90  33  42  -0.781  30.0  30.0  110
 2.250  107.5  90  30  42   0.781   0.0   0.0  106
 2.250  110.0  90  30  39  -0.781   0.0   0.0  109
 2.250  112.5  90  30  39  -0.781 270.0  30.0  112
 2.250  115.0  90  30  39  -0.781 270.0  30.0  114
 2.250  107.5 -90  30  42   0.781  30.0  30.0  104
 2.250  112.5 -90  30  42  -0.781  90.0  30.0  113
 2.300  107.5  90  30  48   0.781   0.0   0.0  106
 2.300  110.0  90  30  48  -0.781   0.0   0.0  109
 2.300  112.5  90  30  42  -0.781 210.0  30.0  111
 2.300  115.0  90  30  39  -0.781 270.0  30.0  113
 2.300  117.5  90  30  39  -0.781 150.0  30.0  112
 2.300  107.5 -90  30  45   0.781  30.0  30.0  107
 2.300  110.0 -90  30  42  -0.781  30.0  30.0  110
 2.350  107.5  90  30  45   0.781   0.0   0.0  105
 2.350  107.5 -90  30  42   0.781  30.0  30.0  106
 2.400  110.0  90  30  42   0.781   0.0   0.0  107
 2.400  120.0  90  30  39  -0.781   0.0   0.0  119
 2.400  110.0 -90  30  39   0.781  30.0  30.0  110
 2.450  105.0  90  27  36  -0.781   0.0   0.0   95
 2.450  107.5  90  27  45  -0.781   0.0   0.0   96
 2.450  110.0  90  27  48   0.781   0.0   0.0   97
 2.450  112.5  90  27  48   0.781   0.0   0.0  101
 2.450  115.0  90  27  45   0.781   0.0   0.0  106
 2.450  117.5  90  27  39   0.781 270.0  30.0  104
 2.450  122.5  90  27  39  -2.344 270.0  30.0  116
 2.450  107.5 -90  27  36  -0.781  30.0  30.0   98
 2.450  110.0 -90  27  39   0.781  30.0  30.0   99
 2.450  115.0 -90  27  36   0.781 150.0  30.0  106
 2.500  112.5  90  27  42  -0.781   0.0   0.0  112
 2.500  115.0  90  27  42  -0.781   0.0   0.0  112
 2.500  115.0 -90  27  39  -0.781 150.0  30.0  111
 2.500  527.5 -90  27  36  -2.344   0.0   0.0  523
 2.550  107.5  90  30  42   0.781   0.0   0.0  106
 2.550  110.0  90  30  42   0.781   0.0   0.0  108
 2.550  115.0  90  30  39   0.781   0.0   0.0  113
 2.550  107.5 -90  30  39   0.781  30.0  30.0  108
 2.550  110.0 -90  30  39   0.781  30.0  30.0  107
 2.600  107.5  90  27  36   0.781   0.0   0.0  106
 2.600  110.0  90  27  36   0.781   0.0   0.0  107
 2.600  112.5  90  27  39   0.781   0.0   0.0  109
 2.600  115.0  90  27  42   2.344   0.0   0.0  112
 2.600  110.0 -90  27  36   0.781  30.0  30.0  107
 2.650  107.5  90  27  42   0.781   0.0   0.0  106
 2.650  110.0  90  27  39   0.781   0.0   0.0  107
 2.650  115.0  90  27  36   3.906   0.0   0.0  111
 2.700  107.5  90  27  39   0.781   0.0   0.0  106
 2.700  110.0  90  27  39   0.781   0.0   0.0  109
 2.700  115.0  90  27  48   2.344   0.0   0.0  111
 2.700  115.0 -90  27  42   2.344  30.0  30.0  111
 2.750  107.5  90  30  42   0.781   0.0   0.0  106
 2.750  112.5  90  30  39   0.781 210.0  30.0  110
 2.750  115.0  90  30  45   2.344   0.0   0.0  112
 2.750  145.0  90  30  39  -0.781   0.0   0.0  144
 2.750  115.0 -90  30  39   2.344  90.0  30.0  113
 2.800  107.5  90  30  42   0.781   0.0   0.0  108
 2.800  110.0  90  30  42   0.781   0.0   0.0  108
 2.800  112.5  90  30  42   0.781   0.0   0.0  113
 2.800  115.0  90  30  51   0.781   0.0   0.0  112
 2.800  117.5  90  30  39   0.781   0.0   0.0  113
 2.800  142.5  90  30  39  -0.781 330.0  30.0  144
 2.800  147.5  90  30  42  -0.781 330.0  30.0  148
