date,foEs,hEs
2012.06.16T09:00:11,2.05,120.0
2012.06.16T09:06:00,2.20,133.3
2012.06.16T09:07:41,2.10,132.5
2012.06.16T09:13:30,3.20,125.8
2012.06.16T09:15:11,3.25,122.5
2012.06.16T09:21:00,2.35,139.4
2012.06.16T09:22:41,2.30,122.5
2012.06.16T09:28:30,3.20,125.0
2012.06.16T09:30:11,3.10,125.0
2012.06.16T09:36:00,2.60,134.4
2012.06.16T09:37:41,2.60,130.0
2012.06.16T09:43:30,2.85,135.0
2012.06.16T09:45:11,2.75,137.5
2012.06.16T09:51:00,1.75,110.0
2012.06.16T09:52:41,,
2012.06.16T09:58:30,3.80,111.7
2012.06.16T10:00:11,3.25,107.5
2012.06.16T10:06:00,3.45,111.3
2012.06.16T10:07:41,3.30,105.0
2012.06.16T10:13:30,3.20,105.0
2012.06.16T10:15:11,3.25,107.5
2012.06.16T10:21:00,2.85,110.0
2012.06.16T10:22:41,2.90,118.8
