#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           WIND> Solar Wind Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     WIND>Wind Interplanetary Plasma Laboratory
#     DESCRIPTOR                      SWE>Solar Wind Experiment
#     DATA_TYPE                       K0>Key Parameter
#     DATA_VERSION                    1
#     TEXT                            SWE, a comprehensive plasma instrument for the WIND spacecraft, K.W.
#                                     Ogilvie, et al., Space Sci. Rev., 71, 55-77, 1995
#                                     
#                                     USE OF THE QUALITY VARIABLES:
#                                     
#                                     *** Good data is indicated by a quality flag of 0. ***
#                                     The quality flags for each parameter are given as integers 4 bytes
#                                     long (integer*4).  The individual 'bits' for each quality value are set
#                                     (or cleared) in the analysis code by adding (or subtracting) a power of
#                                     2 as follows:
#                                     To set the 1st bit, add 1.
#                                     To set the 2nd bit, add 2,
#                                     To set the 3rd bit, add 4,
#                                     To set the 4th bit, add 8, and so on.
#                                     
#                                     BIT  TO_SET_BIT     MEANING
#                                     1    +1         = 3 point parabolic fits to proton peaks were not attempted.
#                                     2    +2         = non-linear least squares fit was not attempted.
#                                     3    +4         = 3 point parabolic fits to proton peaks FAILED.
#                                     4    +8         = non-linear least squares fit FAILED.
#                                     
#                                     See http://cdaweb.gsfc.nasa.gov/wind_swe_quality.html
#                                     For the complete guide to the quality flag values.
#                                     
#     MODS                            12/28/94, 3/4/96, by Alan J. Lazarus John T. Steinberg Daniel B. Berdichevsky.
#                                     Skeleton TABLE for plasma CDF SWE keyparameters, dbb, Jan., 1994.
#                                     Instr. qual. flags validmax setequal to +2147483647, 12/94. Qual. flags format                         
#                                      changed to compatible values with new validmax, jts and ajl, 12/94.                                   
#                                     Processing with instrument science modes 2 and 11 added, jts and dbb, 10/27/95.                        
#                                      DICT_KEYs added ajl, 3/4/96.                                                                          
#     ADID_REF                        NSSD0138
#     LOGICAL_FILE_ID                 WI_K0_SWE_00000000_V01
#     LOGICAL_SOURCE                  WI_K0_SWE
#     LOGICAL_SOURCE_DESCRIPTION      Wind SWE (Solar Wind Experiment), Key Parameters
#     PI_NAME                         K. Ogilvie
#     PI_AFFILIATION                  NASA GSFC
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     LINK_TEXT                       Wind SWE
#     LINK_TITLE                      Home Page
#     HTTP_LINK                       http://web.mit.edu/afs/athena/org/s/space/www/wind.html
#     NSSDC_ID                        sphe-00752
#     ALT_LOGICAL_SOURCE              Wind_SWE_Ion-Moments-Key-Parameters-K0_92sec_cdf
#     MISSION_GROUP                   Wind
#                                     !___Interplanetary Data near 1 AU
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered, in NSSDC Epoch
#  2. Solar Wind Proton Number Density, scalar (linear)
#  3. Ion Dynamic Pressure (derived from mNV^2), scalar
#  4. 1/2 time interval to collect data for parameters
#  5. Solar Wind Velocity in GSM coord., 3 comp.
#
EPOCH                          ION_NP  ION_PRESSURE      DEL_TIME      VX_(GSM)      VY_(GSM)      VZ_(GSM)
                                                                         (@_x_)        (@_y_)        (@_z_)
dd-mm-yyyy hh:mm:ss.ms           #/cc           nPa            ms          km/s          km/s          km/s
16-06-2012 00:00:38.902  -1.00000E+31  -1.00000E+31   9.99900E+06  -1.00000E+31  -1.00000E+31  -1.00000E+31
16-06-2012 00:03:52.222       4.69763      0.708928       13666.4      -300.234      -5.52503       7.39627
16-06-2012 00:05:28.800       4.75967      0.708600       15481.5      -298.124      -9.94009       5.65286
16-06-2012 00:07:08.587       4.48819      0.665711       13666.4      -297.369      -14.0457       7.31828
16-06-2012 00:08:47.621       4.57582      0.685066       13095.7      -298.616      -18.3576       1.15176
16-06-2012 00:10:24.952       4.68576      0.699564       13666.4      -298.483      -12.6204       2.89155
16-06-2012 00:12:03.134       4.68167      0.695966       13666.4      -297.494      -15.9573       10.9897
16-06-2012 00:13:42.168       4.34146      0.644586       13095.7      -297.323      -19.1236     -0.898299
16-06-2012 00:15:17.965       4.85883      0.708190       15200.5      -294.335      -22.4142      -2.44738
16-06-2012 00:16:46.260       4.57842      0.675055       6959.30      -296.365      -17.0869       5.26916
16-06-2012 00:18:38.933       4.55432      0.688692       13666.4      -300.042      -18.9997       4.74602
16-06-2012 00:20:14.117       4.42158      0.680580       16734.7      -302.684      -19.8388      -3.82415
16-06-2012 00:21:49.231       4.39892      0.658341       19802.9      -298.474      -19.7070       1.36208
16-06-2012 00:23:30.411       4.12544      0.614154       13666.4      -298.023      -9.23738       10.1019
16-06-2012 00:25:09.445       4.20655      0.640597       13095.7      -301.627      -3.23978       7.62171
16-06-2012 00:26:47.627       4.30095      0.649157       13095.7      -300.297      -7.33420       2.59206
16-06-2012 00:28:25.810       4.04425      0.613273       13095.7      -301.005      -1.92908       7.33621
16-06-2012 00:30:03.992       4.18623      0.623434       13095.7      -298.114      -12.8861     -0.238674
16-06-2012 00:31:41.323       4.15720      0.625418       13666.4      -299.653      -8.69713       8.80905
16-06-2012 00:33:08.084       3.89069      0.591068       6959.30      -301.190      -8.64109       6.11790
16-06-2012 00:35:03.825       4.46706      0.658452       13666.4      -296.702      -1.54914       9.62500
16-06-2012 00:36:38.938       4.68583      0.692506       13666.4      -296.807      -8.86303       13.5981
16-06-2012 00:38:17.972       4.41566      0.665050       13095.7      -300.057      -1.64053       3.07954
16-06-2012 00:39:55.303       4.46735      0.677806       13666.4      -301.155      -4.16737     -0.527801
16-06-2012 00:41:33.486       4.46067      0.670642       13666.4      -299.785      -3.45734       2.04147
16-06-2012 00:43:11.668       4.44977      0.661355       13666.4      -298.017      -4.78216       4.73517
16-06-2012 00:44:49.028       4.86582      0.728121       13124.5      -298.773      -11.6250       8.04530
16-06-2012 00:46:27.210       4.40449      0.664592       13124.5      -300.095      -10.8543       6.14491
16-06-2012 00:48:09.284       4.66606      0.695007       13666.4      -298.338      -4.34568       5.28697
16-06-2012 00:49:32.976       4.30875      0.641168       6959.30      -297.467      -10.6567       19.1515
16-06-2012 00:51:25.649       4.75462      0.725151       13666.4      -301.541      -12.9328       9.48108
16-06-2012 00:53:01.614       4.33796      0.668125       13095.8      -303.228      -10.8671       4.20931
16-06-2012 00:54:38.945       4.53248      0.687277       13666.2      -300.939      -8.79286       3.95620
16-06-2012 00:56:17.128       4.55674      0.687345       13666.5      -300.225      -6.14859       3.29475
16-06-2012 00:57:56.162       4.94981      0.735297       13095.7      -296.929      -14.8406       20.6711
16-06-2012 00:59:34.344       4.68195      0.709595       13095.7      -300.578      -9.40530       13.3340
16-06-2012 01:01:10.993       4.48993      0.668161       14629.7      -297.305      -3.14718       23.8930
16-06-2012 01:02:50.709       4.03680      0.600262       16164.1      -296.468      -6.66024       31.0564
16-06-2012 01:04:35.028       3.95184      0.610627       13095.7      -302.976      -6.18486       23.4304
16-06-2012 01:05:54.801       4.16076      0.637868       6959.30      -301.780      -6.26561       23.3862
16-06-2012 01:07:59.063       4.01926      0.666144       14629.8      -313.106      -16.7337       27.8288
16-06-2012 01:09:23.439       4.28047      0.670029       16163.9      -304.272     -0.990467       31.6811
16-06-2012 01:11:04.689       4.30164      0.683625       16163.9      -307.225     -0.535329       25.0437
16-06-2012 01:12:38.304       3.98227      0.620247       14594.7      -304.502       1.57967       19.8899
