time,data
9.3029, 0.0620
9.3029, 0.0606
9.3029, 0.0592
9.3029, 0.0578
9.3029, 0.0564
9.3041, 0.0549
9.3041, 0.0535
9.3041, 0.0521
9.3041, 0.0507
9.3040, 0.0493
9.3040, 0.0479
9.3040, 0.0465
9.3040, 0.0451
9.3040, 0.0416
9.3040, 0.0402
9.3039, 0.0388
9.3039, 0.0374
9.3052, 0.0441
9.3052, 0.0360
9.3051, 0.0346
9.3051, 0.0332
9.3051, 0.0321
9.3079, 0.0567
9.3104, 0.0578
9.3129, 0.0588
9.3154, 0.0578
9.3179, 0.0564
9.3192, 0.0551
9.3242, 0.0541
9.3368, 0.0574
9.3418, 0.0578
9.3468, 0.0581
9.3506, 0.0571
9.3556, 0.0567
9.3581, 0.0592
9.3581, 0.0581
9.3607, 0.0627
9.3607, 0.0616
9.3645, 0.0648
9.3732, 0.0567
9.3757, 0.0553
9.3782, 0.0542
9.3782, 0.0532
9.3869, 0.0511
9.3920, 0.0514
9.3969, 0.0490
9.4019, 0.0470
9.4070, 0.0453
9.4107, 0.0458
9.4133, 0.0479
9.4132, 0.0469
9.4200, 0.0530
9.4183, 0.0514
9.4233, 0.0511
9.4321, 0.0455
9.4371, 0.0442
9.4434, 0.0444
9.4433, 0.0430
9.4458, 0.0420
9.4458, 0.0405
9.4483, 0.0374
9.4483, 0.0360
9.4508, 0.0346
9.4508, 0.0332
9.4520, 0.0318
9.4533, 0.0304
9.4596, 0.0363
9.4646, 0.0395
9.4634, 0.0384
9.4684, 0.0398
9.4722, 0.0409
9.4760, 0.0398
9.4898, 0.0455
9.4936, 0.0451
9.4948, 0.0439
9.4961, 0.0427
9.4986, 0.0416
9.4986, 0.0402
9.4985, 0.0391
9.5010, 0.0381
9.5061, 0.0381
9.5086, 0.0402
9.5111, 0.0430
9.5137, 0.0465
9.5137, 0.0451
9.5175, 0.0485
9.5212, 0.0486
9.5275, 0.0476
9.5401, 0.0523
9.5463, 0.0486
9.5488, 0.0472
9.5564, 0.0500
9.5590, 0.0535
9.5615, 0.0549
9.5640, 0.0599
9.5640, 0.0585
9.5666, 0.0627
9.5666, 0.0613
9.5691, 0.0669
9.5691, 0.0655
9.5691, 0.0641
9.5717, 0.0718
9.5792, 0.0718
9.5792, 0.0708
9.5817, 0.0662
9.5904, 0.0585
9.5941, 0.0571
9.5954, 0.0560
9.5992, 0.0564
9.6017, 0.0599
9.6017, 0.0585
9.6042, 0.0620
9.6042, 0.0609
9.6068, 0.0655
9.6093, 0.0665
9.6131, 0.0676
9.6181, 0.0679
9.6232, 0.0701
9.6282, 0.0708
9.6332, 0.0702
9.6382, 0.0697
9.6420, 0.0715
9.6471, 0.0760
9.6496, 0.0788
9.6496, 0.0778
9.6534, 0.0809
9.6584, 0.0799
9.6647, 0.0813
9.6685, 0.0827
9.6735, 0.0827
9.6772, 0.0802
9.6785, 0.0788
9.6898, 0.0757
9.6923, 0.0774
9.6948, 0.0785
9.6973, 0.0795
9.7049, 0.0827
9.7087, 0.0843
9.7137, 0.0852
9.7200, 0.0855
9.7225, 0.0845
9.7225, 0.0830
9.7250, 0.0809
9.7249, 0.0795
9.7249, 0.0781
9.7249, 0.0771
9.7274, 0.0760
9.7274, 0.0746
9.7274, 0.0736
9.7299, 0.0725
9.7299, 0.0715
9.7425, 0.0816
9.7425, 0.0802
9.7451, 0.0904
9.7451, 0.0887
9.7451, 0.0873
9.7451, 0.0859
9.7451, 0.0845
9.7451, 0.0834
9.7477, 0.0971
9.7477, 0.0957
9.7503, 0.1034
9.7503, 0.1020
9.7503, 0.1006
9.7529, 0.1076
9.7528, 0.1062
9.7528, 0.1048
9.7554, 0.1125
9.7554, 0.1115
9.7580, 0.1154
9.7579, 0.1143
9.7605, 0.1175
9.7643, 0.1205
9.7656, 0.1217
9.7681, 0.1203
9.7680, 0.1192
9.7705, 0.1175
9.7705, 0.1164
9.7730, 0.1147
9.7730, 0.1133
9.7742, 0.1115
9.7755, 0.1101
9.7780, 0.1090
9.7780, 0.1080
9.7805, 0.1062
9.7805, 0.1052
9.7867, 0.1006
9.7917, 0.1032
9.7955, 0.1024
9.8005, 0.0992
9.8005, 0.0978
9.8004, 0.0964
9.8004, 0.0953
9.8053, 0.0845
9.8078, 0.0823
9.8078, 0.0813
9.8191, 0.0799
9.8178, 0.0785
9.8241, 0.0797
9.8342, 0.0795
9.8380, 0.0816
9.8380, 0.0806
9.8405, 0.0859
9.8405, 0.0845
9.8405, 0.0834
9.8430, 0.0873
9.8456, 0.0908
9.8456, 0.0894
9.8456, 0.0883
9.8771, 0.1036
9.8809, 0.1020
9.8808, 0.1006
9.8808, 0.0996
9.8833, 0.0981
9.8858, 0.0943
9.8858, 0.0929
9.8883, 0.0915
9.8895, 0.0901
9.9008, 0.0911
9.9046, 0.0925
9.9084, 0.0936
9.9084, 0.0925
9.9133, 0.0866
9.9158, 0.0845
9.9158, 0.0830
9.9171, 0.0818
9.9221, 0.0815
9.9271, 0.0820
9.9423, 0.0922
9.9598, 0.0871
9.9636, 0.0887
9.9636, 0.0873
9.9661, 0.0908
9.9661, 0.0897
9.9687, 0.0936
9.9686, 0.0922
9.9737, 0.0950
9.9878, 0.0833
9.9911, 0.0830
9.9974, 0.0815
9.9987, 0.0830
10.0012, 0.0866
10.0012, 0.0852
10.0012, 0.0841
10.0038, 0.0901
10.0038, 0.0890
10.0101, 0.0953
10.0138, 0.0932
10.0176, 0.0909
10.0163, 0.0897
10.0214, 0.0929
10.0239, 0.0939
10.0264, 0.0964
10.0264, 0.0950
10.0390, 0.0999
10.0390, 0.0985
10.0390, 0.0971
10.0415, 0.0957
10.0415, 0.0943
10.0415, 0.0932
10.0440, 0.0922
10.0440, 0.0911
10.0464, 0.0873
10.0464, 0.0862
10.0502, 0.0850
10.0552, 0.0852
10.0590, 0.0855
10.0653, 0.0862
10.0703, 0.0866
10.0753, 0.0867
10.0766, 0.0880
10.0828, 0.0881
10.0904, 0.0894
10.0954, 0.0908
10.0980, 0.0922
10.1030, 0.0918
10.1067, 0.0925
10.1105, 0.0908
10.1142, 0.0894
10.1142, 0.0883
10.1255, 0.0837
10.1334, 0.0775
10.1317, 0.0764
10.1380, 0.0774
10.1417, 0.0774
10.1442, 0.0732
10.1442, 0.0718
10.1442, 0.0704
10.1442, 0.0690
10.1467, 0.0679
10.1542, 0.0676
10.1580, 0.0686
10.1667, 0.0665
10.1706, 0.0704
10.1693, 0.0690
10.1719, 0.0746
10.1718, 0.0732
10.1718, 0.0718
10.1744, 0.0809
10.1744, 0.0795
10.1744, 0.0781
10.1744, 0.0771
10.1797, 0.1006
10.1796, 0.0992
10.1796, 0.0981
10.1822, 0.1031
10.1849, 0.1220
10.1848, 0.1168
10.1848, 0.1157
10.1874, 0.1252
10.1874, 0.1241
10.1900, 0.1280
10.1900, 0.1266
10.1942, 0.1295
10.2037, 0.1240
10.2088, 0.1252
10.2125, 0.1238
10.2125, 0.1224
10.2125, 0.1210
10.2125, 0.1196
10.2125, 0.1185
10.2150, 0.1154
10.2149, 0.1140
10.2149, 0.1125
10.2149, 0.1101
10.2246, 0.0774
10.2246, 0.0760
10.2246, 0.0750
10.2271, 0.0725
10.2271, 0.0711
10.2270, 0.0697
10.2270, 0.0686
10.2295, 0.0662
10.2295, 0.0648
10.2295, 0.0634
10.2295, 0.0620
10.2295, 0.0606
