Zhong Shan, lat -69.4, lon 76.4, 2012.06.16 (168) 10:03:50, coord GM
The following filter has been applied:
ZenithMax: 40.0 deg
Only O-polarization

     F,kHz      R,km   Zen,deg    Az,deg    Dop,Hz     Error    Amp,dB
      4000     277.0      10.8     236.1   -6.1198       8.0      18.0
      4000     277.0      11.1     236.4   -5.9896       8.0      19.5
      4000     277.0      12.5     241.9   -5.8594      14.0      13.5
      4000     277.0      12.5     235.0   -5.7292      14.0      16.5
      4000     277.0      10.4     235.7   -5.5990      14.0      13.5
      4000     277.0       8.9     241.1   -5.3385      13.0      15.0
      4000     277.0       7.0     250.0   -5.2083      17.0      13.5
      4000     277.0      11.2     233.7   -4.9479      21.0      15.0
      4000     277.0      10.5     237.9   -4.8177      16.0      24.0
      4000     277.0       9.9     238.4   -4.6875      13.0      25.5
      4000     277.0       9.0     237.5   -4.5573      11.0      22.5
      4000     277.0       7.5     231.3   -4.4271      14.0      16.5
      4000     277.0       8.1     247.0   -4.2969      19.0      16.5
      4000     277.0       8.5     250.7   -4.1667      15.0      27.0
      4000     277.0       8.0     244.3   -4.0365      13.0      30.0
      4000     277.0       7.7     236.0   -3.9063      12.0      25.5
      4000     277.0       7.4     247.0   -3.7760      15.0      27.0
      4000     277.0       8.0     249.7   -3.6458      14.0      25.5
      4000     277.0       6.5     221.9   -3.5156      16.0      12.0
      4000     277.0       6.5     251.9   -3.3854      14.0      21.0
      4000     277.0       7.0     260.7   -3.2552      11.0      18.0
      4000     277.0       5.6     235.7   -2.8646      11.0      16.5
      4000     277.0       6.9     256.2   -2.7344      11.0      18.0
      4000     277.0       5.8     237.8   -2.6042      11.0      15.0
      4000     277.0       4.6     251.6   -2.4740      21.0      12.0
      4000     277.0       8.1     247.0   -2.3437       8.0      13.5
      4000     277.0       7.7     236.0   -2.2135       7.0      13.5
      4000     277.0       7.6     240.1   -2.0833       7.0      12.0
      4000     280.0      11.2     227.7   -6.9010      15.0      15.0
      4000     280.0      16.6     223.0   -6.7708      19.0      13.5
      4000     280.0      11.8     230.6   -6.6406      10.0      16.5
      4000     280.0      15.1     234.2   -6.5104      11.0      12.0
      4000     280.0      11.7     225.7   -6.3802      12.0      19.5
      4000     280.0      11.0     230.4   -6.2500      13.0      22.5
      4000     280.0      12.2     239.1   -6.1198      13.0      24.0
      4000     280.0      12.6     244.5   -5.9896      11.0      21.0
      4000     280.0      15.2     263.4   -5.8594      10.0      13.5
      4000     280.0      12.6     236.9   -5.7292      14.0      16.5
      4000     280.0       9.6     237.0   -5.5990      17.0      13.5
      4000     280.0       6.7     243.8   -5.4687      11.0      12.0
      4000     280.0      12.8     237.0   -5.3385      13.0      12.0
      4000     280.0      11.0     242.2   -4.9479      14.0      18.0
      4000     280.0       9.1     243.5   -4.8177      14.0      24.0
      4000     280.0       8.5     243.3   -4.6875      15.0      25.5
      4000     280.0       7.2     249.9   -4.5573      15.0      21.0
      4000     280.0       9.5     222.9   -4.2969      15.0      16.5
      4000     280.0       8.1     231.1   -4.1667      16.0      21.0
      4000     280.0       7.7     236.0   -4.0365      13.0      19.5
      4000     280.0       4.8     240.4   -3.9063      15.0      15.0
      4000     280.0       4.1     241.8   -3.7760      14.0      21.0
      4000     280.0       4.4     232.4   -3.6458      10.0      15.0
      4000     280.0       4.3     286.8   -3.5156      18.0      15.0
      4000     280.0       3.1     275.1   -3.3854      13.0      19.5
      4000     280.0       2.8     254.6   -3.2552       7.0      16.5
      4000     280.0       4.8     253.6   -2.8646      12.0      19.5
      4000     280.0       5.6     281.2   -2.7344      11.0      19.5
      4000     280.0       5.4     256.8   -2.6042       9.0      12.0
      4000     280.0       1.9     258.3   -2.4740      13.0      15.0
